chapter_id,hard_label,certainty
0,2,1.0
1,2,1.0
2,2,1.0
3,2,1.0
4,2,1.0
5,2,0.9999999966616997
6,2,1.0
7,2,1.0
8,2,1.0
9,2,1.0
10,2,1.0
11,2,1.0
12,2,0.9999999999486135
13,2,1.0
14,2,1.0
15,2,1.0
16,2,1.0
17,2,1.0
18,2,1.0
19,2,1.0
20,2,1.0
21,2,1.0
22,2,1.0
23,2,1.0
24,2,1.0
25,2,1.0
26,2,1.0
27,2,1.0
28,2,1.0
29,2,1.0
30,2,1.0
31,2,1.0
32,2,0.9993032719837143
33,2,1.0
34,2,1.0
35,2,1.0
36,2,1.0
37,2,1.0
38,2,1.0
39,2,1.0
40,2,1.0
41,2,1.0
42,2,1.0
43,2,1.0
44,3,0.9862047091258872
45,2,1.0
46,2,1.0
47,2,0.999999943534023
48,2,1.0
49,2,1.0
50,2,1.0
51,2,1.0
52,2,1.0
53,2,1.0
54,2,1.0
55,2,1.0
56,2,1.0
57,2,1.0
58,2,1.0
59,2,1.0
60,2,1.0
61,2,1.0
62,2,1.0
63,2,1.0
64,2,1.0
65,2,1.0
66,2,1.0
67,2,1.0
68,2,1.0
69,2,1.0
70,2,1.0
71,2,1.0
72,2,1.0
73,2,1.0
74,2,1.0
75,2,1.0
76,2,1.0
77,2,1.0
78,2,1.0
79,2,1.0
80,2,1.0
81,2,1.0
82,2,1.0
83,2,1.0
84,2,1.0
85,2,1.0
86,2,1.0
87,2,1.0
88,2,1.0
89,2,1.0
90,2,1.0
91,2,1.0
92,2,1.0
93,2,1.0
94,2,1.0
95,2,1.0
96,2,1.0
97,2,1.0
98,2,1.0
99,2,1.0
100,2,1.0
101,2,1.0
102,2,1.0
103,2,1.0
104,2,1.0
105,2,1.0
106,2,1.0
107,2,1.0
108,2,1.0
109,2,1.0
110,2,1.0
111,2,1.0
112,2,1.0
113,2,1.0
114,2,1.0
115,2,1.0
116,2,1.0
117,2,1.0
118,2,1.0
119,2,1.0
120,2,1.0
121,2,1.0
122,2,1.0
123,2,1.0
124,2,1.0
125,2,1.0
126,2,1.0
127,2,1.0
128,2,1.0
129,2,1.0
130,2,1.0
131,2,1.0
132,2,1.0
133,2,1.0
134,2,1.0
135,2,1.0
136,2,1.0
137,2,1.0
138,2,1.0
139,2,1.0
140,2,1.0
141,2,0.9999999999997726
142,2,1.0
143,2,1.0
144,2,1.0
145,2,1.0
146,2,1.0
147,2,1.0
148,2,1.0
149,0,0.9887061433589609
150,2,1.0
151,2,1.0
152,2,1.0
153,2,1.0
154,2,1.0
155,2,1.0
156,2,1.0
157,2,1.0
158,2,1.0
159,2,1.0
160,2,1.0
161,2,1.0
162,2,1.0
163,2,1.0
164,2,1.0
165,2,1.0
166,2,1.0
167,2,0.9999999999915872
168,2,1.0
169,2,1.0
170,2,1.0
171,2,1.0
172,2,1.0
173,2,1.0
174,2,1.0
175,2,1.0
176,2,1.0
177,2,1.0
178,2,1.0
179,2,1.0
180,2,1.0
181,2,1.0
182,2,1.0
183,2,1.0
184,2,1.0
185,2,1.0
186,3,0.7560997997651935
187,2,1.0
188,2,0.999999998908379
189,2,1.0
190,2,1.0
191,2,1.0
192,2,1.0
193,2,1.0
194,2,1.0
195,2,1.0
196,2,0.999999999998181
197,2,0.9999999999984084
198,2,1.0
199,2,1.0
200,2,1.0
201,2,1.0
202,2,1.0
203,2,1.0
204,2,1.0
205,2,1.0
206,2,1.0
207,2,1.0
208,2,1.0
209,2,1.0
210,2,1.0
211,2,1.0
212,2,1.0
213,2,1.0
214,2,1.0
215,2,1.0
216,2,1.0
217,2,1.0
218,2,1.0
219,2,1.0
220,2,1.0
221,2,1.0
222,2,1.0
223,2,1.0
224,2,1.0
225,2,1.0
226,2,1.0
227,2,1.0
228,2,1.0
229,2,1.0
230,2,1.0
231,2,1.0
232,2,1.0
233,2,1.0
234,2,1.0
235,2,1.0
236,2,1.0
237,2,1.0
238,2,1.0
239,2,1.0
240,2,1.0
241,2,1.0
242,2,1.0
243,2,1.0
244,2,1.0
245,2,1.0
246,2,1.0
247,2,1.0
248,2,1.0
249,2,1.0
250,2,1.0
251,2,1.0
252,2,1.0
253,2,1.0
254,2,1.0
255,2,1.0
256,3,0.9999897773549957
257,2,0.9999999999931788
258,2,1.0
259,2,1.0
260,2,1.0
261,2,1.0
262,2,1.0
263,2,0.9999950010649064
264,2,1.0
265,2,1.0
266,2,1.0
267,2,1.0
268,2,1.0
269,2,1.0
270,2,1.0
271,2,1.0
272,2,1.0
273,2,1.0
274,2,1.0
275,2,1.0
276,2,1.0
277,2,1.0
278,2,1.0
279,2,1.0
280,2,1.0
281,2,1.0
282,2,1.0
283,2,1.0
284,2,1.0
285,2,1.0
286,2,1.0
287,2,1.0
288,2,1.0
289,2,1.0
290,2,1.0
291,2,1.0
292,2,1.0
293,2,1.0
294,2,1.0
295,2,1.0
296,2,1.0
297,2,1.0
298,2,1.0
299,2,1.0
300,2,1.0
301,2,1.0
302,2,1.0
303,2,1.0
304,2,1.0
305,2,1.0
306,2,1.0
307,2,1.0
308,2,1.0
309,2,1.0
310,2,1.0
311,2,1.0
312,2,1.0
313,2,1.0
314,2,1.0
315,2,1.0
316,1,0.9915309836310581
317,3,1.0
318,3,1.0
319,1,0.9864478465402265
320,2,0.917880123046176
321,3,0.9999999999995453
322,3,0.9999999106808031
323,3,0.9966174282857174
324,3,0.9999438627413026
325,3,0.9999997196173747
326,3,1.0
327,3,1.0
328,3,1.0
329,3,1.0
330,0,0.9998392230275299
331,2,0.9998137519125888
332,2,0.9999998740872876
333,2,0.9999824742784403
334,2,0.9864308506149193
335,1,0.9999999857989224
336,0,0.9999994595404228
337,2,0.9994860280814449
338,2,0.9999999999943157
339,0,1.0
340,3,1.0
341,3,1.0
342,3,1.0
343,3,1.0
344,3,1.0
345,1,0.9999999999886313
346,3,1.0
347,3,1.0
348,3,1.0
349,0,1.0
350,3,1.0
351,3,1.0
352,3,1.0
353,3,1.0
354,3,1.0
355,3,1.0
