cluster_0,cluster_1,cluster_2,cluster_3
6.481309581272303e-87,8.564079791218281e-48,1.0,1.8532452304815774e-34
6.835636627751719e-62,1.7092955061237583e-42,1.0,1.8319370951906503e-27
1.0706490249615854e-35,4.88840720872654e-72,1.0,1.9335978267211155e-47
3.44640961221198e-62,1.621071789096937e-27,1.0,5.600706451856959e-26
9.159251808690902e-47,6.097970806197668e-43,1.0,1.1404676357716098e-37
3.3235323301472326e-09,2.9130088014245685e-63,0.999999996676479,3.51982031541802e-41
2.3287310361301745e-39,6.616323349345899e-40,1.0,7.41951178789189e-14
8.853232328239749e-44,1.5243306105295407e-39,1.0,1.5792804168625478e-27
8.559640883546317e-43,2.504017761581398e-63,1.0,1.2916485935126897e-38
1.2053706893776946e-37,2.544316237051366e-37,1.0,8.102539524833645e-21
5.59296099133483e-54,2.0695297095038279e-41,1.0,3.3359676558535855e-26
1.7142589095692028e-49,8.927176265101062e-56,1.0,7.574783373939721e-40
5.1071200591830654e-11,3.35794416561005e-61,0.9999999999488409,2.338628375619726e-43
5.369894409735912e-44,5.094570331313462e-68,1.0,4.2522650677475485e-38
1.7930530356371065e-47,5.580833341513858e-47,1.0,4.659550071206909e-36
1.128548978047989e-73,2.734432269284611e-39,1.0,2.0680816769127497e-33
4.9858630044899895e-62,4.550601777188023e-81,1.0,8.17252660034165e-62
5.588069062721399e-85,1.0210824842420385e-88,1.0,9.926799214435902e-60
5.613099695464572e-25,4.4503083693936935e-61,1.0,2.0753537755981574e-38
3.463874777566614e-46,7.310269580500859e-51,1.0,1.631337379003291e-31
1.6776369591730258e-34,2.4772229419228455e-56,1.0,2.814470759069979e-35
3.511413356784556e-49,5.3087995321549155e-50,1.0,4.299293321794444e-39
6.68035363624974e-33,9.498503037636629e-69,1.0,2.23733089127095e-45
3.794359305303481e-46,1.0927545490187173e-62,1.0,1.4074077743304563e-34
3.968884575418537e-36,1.6907968462724353e-60,1.0,8.328158843657201e-45
3.125791677899705e-52,6.822299254127317e-96,1.0,1.8377856880560712e-56
1.6524678106817948e-71,2.31046732259941e-56,1.0,1.986287598080533e-45
4.957545563607137e-35,3.499097482449081e-61,1.0,1.2189378711440582e-34
3.299734675145145e-83,1.244767056491867e-25,1.0,7.715308644956218e-20
2.1668717069976974e-88,3.553959666564296e-33,1.0,5.334698297843543e-19
5.202628500517021e-66,3.38100271111518e-46,1.0,5.3810500253911115e-34
9.33202997510375e-76,2.1873564349769365e-34,1.0,9.024477122037588e-28
2.4598602001085556e-68,0.0006928804746442581,0.999307119524103,1.1538618144685735e-12
3.4552677411396175e-83,5.654217337176256e-41,1.0,3.1964490048635045e-36
1.3442557301627672e-64,1.5666746042041188e-62,1.0,2.804360814976889e-37
9.884141304407587e-78,1.4851399706970806e-53,1.0,2.1395853890961377e-36
1.202710817520523e-38,2.6360758451482232e-84,1.0,1.18274313138839e-64
4.253617977229238e-45,1.1419195162608373e-46,1.0,2.337692145884638e-34
3.703782893205338e-38,2.795150018032253e-63,1.0,5.859007568469579e-51
4.544607646427824e-59,4.574990678017387e-72,1.0,4.308980486817306e-42
1.1269081177097459e-72,1.2184850987644751e-73,1.0,2.660000979462255e-44
5.971156475320718e-90,1.8390441347545145e-53,1.0,7.120364028128942e-40
2.619391407895935e-60,2.1510722055191657e-66,1.0,9.603170241062144e-42
6.975686200494265e-76,2.8328222987239765e-54,1.0,1.962027811997472e-35
4.662865434948041e-59,0.9861826887369803,0.013817311263061701,6.073306508637559e-23
2.711403845494996e-87,5.980478144325827e-54,1.0,6.516742211153615e-39
7.935129769018196e-36,1.2395040628809403e-87,1.0,2.4702654459085385e-59
1.7400562764424348e-88,5.6281322531068995e-08,0.9999999437186504,2.15950241621983e-21
7.042744150711041e-78,8.584349868662775e-29,1.0,2.0881089260297094e-22
